pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(39, 62), (120, 117), (85, 177)], fitness=(0.026366489052742303,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(88, 182), (82, 28), (159, 75)], fitness=(0.02637668037818086,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(69, 184), (25, 176), (81, 25)], fitness=(0.026456625693693003,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(61, 123), (47, 75), (138, 43)], fitness=(0.026356465311277888,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 156), (141, 112), (182, 41)], fitness=(0.026339515543712944,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(29, 79), (98, 65), (118, 127)], fitness=(0.02637490895014316,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(147, 162), (77, 94), (86, 13)], fitness=(0.026363174506809806,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(188, 175), (184, 147), (187, 123)], fitness=(0.02633093870993153,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 172), (40, 174), (30, 40)], fitness=(0.026343842823619013,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(113, 167), (183, 122), (87, 47)], fitness=(0.026370659274049357,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(4, 5), (103, 169), (114, 183)], fitness=(0.026374501620341495,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(39, 62), (120, 117), (85, 177)], fitness=(0.026366489052742303,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(88, 182), (82, 28), (159, 75)], fitness=(0.02637668037818086,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(69, 184), (25, 176), (81, 25)], fitness=(0.026456625693693003,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(61, 123), (47, 75), (138, 43)], fitness=(0.026356465311277888,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 156), (141, 112), (182, 41)], fitness=(0.026339515543712944,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(29, 79), (98, 65), (118, 127)], fitness=(0.02637490895014316,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(147, 162), (77, 94), (86, 13)], fitness=(0.026363174506809806,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(188, 175), (184, 147), (187, 123)], fitness=(0.02633093870993153,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(48, 172), (40, 174), (30, 40)], fitness=(0.026343842823619013,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(113, 167), (183, 122), (87, 47)], fitness=(0.026370659274049357,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(4, 5), (103, 169), (114, 183)], fitness=(0.026374501620341495,)
